Date,FX_Swap_Deposit_Amount
30-11-2016,
01-12-2016,
02-12-2016,
05-12-2016,
06-12-2016,
07-12-2016,
08-12-2016,
09-12-2016,
12-12-2016,
13-12-2016,
14-12-2016,
15-12-2016,
16-12-2016,
19-12-2016,
20-12-2016,
21-12-2016,
22-12-2016,
23-12-2016,
26-12-2016,
27-12-2016,
28-12-2016,
29-12-2016,
30-12-2016,
02-01-2017,
03-01-2017,
04-01-2017,
05-01-2017,
06-01-2017,
09-01-2017,
10-01-2017,
11-01-2017,
12-01-2017,
13-01-2017,
16-01-2017,
17-01-2017,
18-01-2017,500005000.0
19-01-2017,300000000.0
20-01-2017,300000000.0
23-01-2017,300000000.0
24-01-2017,300000000.0
25-01-2017,300000000.0
26-01-2017,500000000.0
27-01-2017,1000005000.0
30-01-2017,900000000.0
31-01-2017,375000000.0
01-02-2017,275000000.0
02-02-2017,425000000.0
03-02-2017,925000000.0
06-02-2017,625000000.0
07-02-2017,410000000.0
08-02-2017,275000000.0
09-02-2017,430000000.0
10-02-2017,400000000.0
13-02-2017,475000000.0
14-02-2017,975000000.0
15-02-2017,825000000.0
16-02-2017,630000000.0
17-02-2017,400000000.0
20-02-2017,400000000.0
21-02-2017,500000000.0
22-02-2017,550000000.0
23-02-2017,580000000.0
24-02-2017,652000000.0
27-02-2017,750000000.0
28-02-2017,360000000.0
01-03-2017,999970000.0
02-03-2017,999985000.0
03-03-2017,840000000.0
06-03-2017,450000000.0
07-03-2017,350000000.0
08-03-2017,470000000.0
09-03-2017,520000000.0
10-03-2017,630000000.0
13-03-2017,500000000.0
14-03-2017,400000000.0
15-03-2017,400000000.0
16-03-2017,170000000.0
17-03-2017,999985000.0
20-03-2017,1000005000.0
21-03-2017,930000000.0
22-03-2017,270000000.0
23-03-2017,370000000.0
24-03-2017,999990000.0
27-03-2017,1000000000.0
28-03-2017,770000000.0
29-03-2017,780000000.0
30-03-2017,570000000.0
31-03-2017,1000000000.0
03-04-2017,970000000.0
04-04-2017,999990000.0
05-04-2017,999985000.0
06-04-2017,950000000.0
07-04-2017,795000000.0
10-04-2017,950000000.0
11-04-2017,1000000000.0
12-04-2017,725000000.0
13-04-2017,840000000.0
14-04-2017,1010000000.0
17-04-2017,1145000000.0
18-04-2017,770000000.0
19-04-2017,1250000000.0
20-04-2017,1250030000.0
21-04-2017,1250005000.0
24-04-2017,1250025000.0
25-04-2017,1055000000.0
26-04-2017,710000000.0
27-04-2017,1249975000.0
28-04-2017,1250005000.0
01-05-2017,
02-05-2017,1250030000.0
03-05-2017,1250010000.0
04-05-2017,1249935000.0
05-05-2017,1249960000.0
08-05-2017,1250000000.0
09-05-2017,1250005000.0
10-05-2017,1250020000.0
11-05-2017,1249975000.0
12-05-2017,1250035000.0
15-05-2017,1250035000.0
16-05-2017,1249965000.0
17-05-2017,1250035000.0
18-05-2017,1249980000.0
19-05-2017,
22-05-2017,1249960000.0
23-05-2017,1249995000.0
24-05-2017,1250045000.0
25-05-2017,1249990000.0
26-05-2017,1250000000.0
29-05-2017,1250005000.0
30-05-2017,940000000.0
31-05-2017,1250020000.0
01-06-2017,1249990000.0
02-06-2017,1140000000.0
05-06-2017,1249975000.0
06-06-2017,1249990000.0
07-06-2017,1250000000.0
08-06-2017,1249970000.0
09-06-2017,1249980000.0
12-06-2017,930000000.0
13-06-2017,915000000.0
14-06-2017,1150000000.0
15-06-2017,1250005000.0
16-06-2017,1250040000.0
19-06-2017,1250020000.0
20-06-2017,1249990000.0
21-06-2017,1249965000.0
22-06-2017,1250010000.0
23-06-2017,1249990000.0
26-06-2017,
27-06-2017,
28-06-2017,1249980000.0
29-06-2017,1249985000.0
30-06-2017,1249990000.0
03-07-2017,1249975000.0
04-07-2017,1250020000.0
05-07-2017,1249980000.0
06-07-2017,1249995000.0
07-07-2017,1250015000.0
10-07-2017,1250000000.0
11-07-2017,1249960000.0
12-07-2017,1250025000.0
13-07-2017,1249980000.0
14-07-2017,1249980000.0
17-07-2017,1249985000.0
18-07-2017,1249995000.0
19-07-2017,1249995000.0
20-07-2017,1249990000.0
21-07-2017,1100000000.0
24-07-2017,1249985000.0
25-07-2017,1134000000.0
26-07-2017,966000000.0
27-07-2017,1249950000.0
28-07-2017,935000000.0
31-07-2017,990000000.0
01-08-2017,1065000000.0
02-08-2017,1249970000.0
03-08-2017,1249960000.0
04-08-2017,1249990000.0
07-08-2017,1249950000.0
08-08-2017,1249985000.0
09-08-2017,1250000000.0
10-08-2017,1250000000.0
11-08-2017,1249970000.0
14-08-2017,1250010000.0
15-08-2017,1250030000.0
16-08-2017,1250035000.0
17-08-2017,1249995000.0
18-08-2017,1195000000.0
21-08-2017,710000000.0
22-08-2017,565000000.0
23-08-2017,630000000.0
24-08-2017,1050000000.0
25-08-2017,1249985000.0
28-08-2017,625000000.0
29-08-2017,720000000.0
30-08-2017,
31-08-2017,
01-09-2017,
04-09-2017,
05-09-2017,1250010000.0
06-09-2017,1165000000.0
07-09-2017,800000000.0
08-09-2017,980000000.0
11-09-2017,1250000000.0
12-09-2017,1249960000.0
13-09-2017,1250035000.0
14-09-2017,1250010000.0
15-09-2017,1250015000.0
18-09-2017,1250025000.0
19-09-2017,1250040000.0
20-09-2017,1250040000.0
21-09-2017,1250010000.0
22-09-2017,1250030000.0
25-09-2017,1250010000.0
26-09-2017,1250000000.0
27-09-2017,745000000.0
28-09-2017,605000000.0
29-09-2017,750000000.0
02-10-2017,485000000.0
03-10-2017,580000000.0
04-10-2017,625000000.0
05-10-2017,835000000.0
06-10-2017,840000000.0
09-10-2017,350000000.0
10-10-2017,740000000.0
11-10-2017,675000000.0
12-10-2017,675000000.0
13-10-2017,995000000.0
16-10-2017,1249985000.0
17-10-2017,1250010000.0
18-10-2017,1250005000.0
19-10-2017,1250000000.0
20-10-2017,1020000000.0
23-10-2017,1165000000.0
24-10-2017,1250005000.0
25-10-2017,630000000.0
26-10-2017,275000000.0
27-10-2017,355000000.0
30-10-2017,575000000.0
31-10-2017,1090000000.0
01-11-2017,1250005000.0
02-11-2017,425000000.0
03-11-2017,120000000.0
06-11-2017,250000000.0
07-11-2017,600000000.0
08-11-2017,585000000.0
09-11-2017,755000000.0
10-11-2017,90000000.0
13-11-2017,300000000.0
14-11-2017,1095000000.0
15-11-2017,935000000.0
16-11-2017,1220000000.0
17-11-2017,125000000.0
20-11-2017,675000000.0
21-11-2017,200000000.0
22-11-2017,395000000.0
23-11-2017,300000000.0
24-11-2017,75000000.0
27-11-2017,1015000000.0
28-11-2017,1250000000.0
29-11-2017,1249995000.0
30-11-2017,1250000000.0
01-12-2017,375000000.0
04-12-2017,80000000.0
05-12-2017,120000000.0
06-12-2017,535000000.0
07-12-2017,1249995000.0
08-12-2017,1250005000.0
11-12-2017,575000000.0
12-12-2017,50000000.0
13-12-2017,20000000.0
14-12-2017,0.0
15-12-2017,1250000000.0
18-12-2017,1250000000.0
19-12-2017,820000000.0
20-12-2017,485000000.0
21-12-2017,475000000.0
22-12-2017,595000000.0
25-12-2017,1249995000.0
26-12-2017,1010000000.0
27-12-2017,1249995000.0
28-12-2017,1025000000.0
29-12-2017,625000000.0
01-01-2018,
02-01-2018,525000000.0
03-01-2018,20000000.0
04-01-2018,200000000.0
05-01-2018,530000000.0
08-01-2018,725000000.0
09-01-2018,1050000000.0
10-01-2018,1220000000.0
11-01-2018,510000000.0
12-01-2018,575000000.0
15-01-2018,30000000.0
16-01-2018,465000000.0
17-01-2018,1250005000.0
18-01-2018,1250000000.0
19-01-2018,935000000.0
22-01-2018,815000000.0
23-01-2018,395000000.0
24-01-2018,475000000.0
25-01-2018,525000000.0
26-01-2018,1249995000.0
29-01-2018,1250000000.0
30-01-2018,1250000000.0
31-01-2018,415000000.0
01-02-2018,600000000.0
02-02-2018,380000000.0
05-02-2018,970000000.0
06-02-2018,1249990000.0
07-02-2018,1249995000.0
08-02-2018,665000000.0
09-02-2018,220000000.0
12-02-2018,900000000.0
13-02-2018,1170000000.0
14-02-2018,845000000.0
15-02-2018,1249995000.0
16-02-2018,1210000000.0
19-02-2018,950000000.0
20-02-2018,1250000000.0
21-02-2018,1250000000.0
22-02-2018,960000000.0
23-02-2018,890000000.0
26-02-2018,965000000.0
27-02-2018,1125000000.0
28-02-2018,1160000000.0
01-03-2018,865000000.0
02-03-2018,940000000.0
05-03-2018,925000000.0
06-03-2018,1050000000.0
07-03-2018,1125000000.0
08-03-2018,920000000.0
09-03-2018,1165000000.0
12-03-2018,1230000000.0
13-03-2018,1250010000.0
14-03-2018,1250010000.0
15-03-2018,1249985000.0
16-03-2018,1249995000.0
19-03-2018,1140000000.0
20-03-2018,1190000000.0
21-03-2018,935000000.0
22-03-2018,860000000.0
23-03-2018,185000000.0
26-03-2018,805000000.0
27-03-2018,1250000000.0
28-03-2018,1250000000.0
29-03-2018,1249995000.0
30-03-2018,1250010000.0
02-04-2018,1170000000.0
03-04-2018,1249995000.0
04-04-2018,1250000000.0
05-04-2018,1249990000.0
06-04-2018,1250000000.0
09-04-2018,1070000000.0
10-04-2018,745000000.0
11-04-2018,190000000.0
12-04-2018,415000000.0
13-04-2018,525000000.0
16-04-2018,625000000.0
17-04-2018,1185000000.0
18-04-2018,705000000.0
19-04-2018,620000000.0
20-04-2018,50000000.0
23-04-2018,
24-04-2018,0.0
25-04-2018,25000000.0
26-04-2018,1250000000.0
27-04-2018,1249990000.0
30-04-2018,1250005000.0
01-05-2018,
02-05-2018,1250000000.0
03-05-2018,1249995000.0
04-05-2018,1249995000.0
07-05-2018,1075000000.0
08-05-2018,110000000.0
09-05-2018,115000000.0
10-05-2018,25000000.0
11-05-2018,521000000.0
14-05-2018,1500005000.0
15-05-2018,1035000000.0
16-05-2018,65000000.0
17-05-2018,20000000.0
18-05-2018,50000000.0
21-05-2018,0.0
22-05-2018,170000000.0
23-05-2018,200000000.0
24-05-2018,1499985000.0
25-05-2018,1500000000.0
28-05-2018,300000000.0
29-05-2018,150000000.0
30-05-2018,535000000.0
31-05-2018,1499995000.0
01-06-2018,1410000000.0
04-06-2018,280000000.0
05-06-2018,930000000.0
06-06-2018,385000000.0
07-06-2018,150000000.0
08-06-2018,1500005000.0
11-06-2018,1499990000.0
12-06-2018,1500000000.0
13-06-2018,1325000000.0
14-06-2018,
15-06-2018,
18-06-2018,960000000.0
19-06-2018,270000000.0
20-06-2018,370000000.0
21-06-2018,150000000.0
22-06-2018,165000000.0
25-06-2018,1500000000.0
26-06-2018,1410000000.0
27-06-2018,750000000.0
28-06-2018,425000000.0
29-06-2018,415000000.0
02-07-2018,1260000000.0
03-07-2018,1500005000.0
04-07-2018,200000000.0
05-07-2018,470000000.0
06-07-2018,760000000.0
09-07-2018,560000000.0
10-07-2018,1499995000.0
11-07-2018,1250000000.0
12-07-2018,350000000.0
13-07-2018,160000000.0
16-07-2018,1060000000.0
17-07-2018,450000000.0
18-07-2018,500000000.0
19-07-2018,650000000.0
20-07-2018,240000000.0
23-07-2018,30000000.0
24-07-2018,0.0
25-07-2018,1500000000.0
26-07-2018,575000000.0
27-07-2018,660000000.0
30-07-2018,0.0
31-07-2018,160000000.0
01-08-2018,380000000.0
02-08-2018,180000000.0
03-08-2018,255000000.0
06-08-2018,105000000.0
07-08-2018,9000000.0
08-08-2018,30000000.0
09-08-2018,100000000.0
10-08-2018,200000000.0
13-08-2018,280000000.0
14-08-2018,150000000.0
15-08-2018,40000000.0
16-08-2018,25000000.0
17-08-2018,55000000.0
20-08-2018,
21-08-2018,
22-08-2018,
23-08-2018,
24-08-2018,
27-08-2018,100000000.0
28-08-2018,125000000.0
29-08-2018,40000000.0
30-08-2018,
31-08-2018,140000000.0
03-09-2018,0.0
04-09-2018,590000000.0
05-09-2018,155000000.0
06-09-2018,60000000.0
07-09-2018,140000000.0
10-09-2018,10000000.0
11-09-2018,80000000.0
12-09-2018,60000000.0
13-09-2018,40000000.0
14-09-2018,555000000.0
17-09-2018,135000000.0
18-09-2018,130000000.0
19-09-2018,190000000.0
20-09-2018,80000000.0
21-09-2018,200000000.0
24-09-2018,40000000.0
25-09-2018,30000000.0
26-09-2018,555000000.0
27-09-2018,60000000.0
28-09-2018,275000000.0
01-10-2018,160000000.0
02-10-2018,145000000.0
03-10-2018,235000000.0
04-10-2018,215000000.0
05-10-2018,280000000.0
08-10-2018,160000000.0
09-10-2018,160000000.0
10-10-2018,385000000.0
11-10-2018,270000000.0
12-10-2018,565000000.0
15-10-2018,535000000.0
16-10-2018,100000000.0
17-10-2018,110000000.0
18-10-2018,335000000.0
19-10-2018,210000000.0
22-10-2018,30000000.0
23-10-2018,210000000.0
24-10-2018,60000000.0
25-10-2018,130000000.0
26-10-2018,360000000.0
29-10-2018,
30-10-2018,70000000.0
31-10-2018,40000000.0
01-11-2018,125000000.0
02-11-2018,380000000.0
05-11-2018,310000000.0
06-11-2018,130000000.0
07-11-2018,75000000.0
08-11-2018,85000000.0
09-11-2018,415000000.0
12-11-2018,0.0
13-11-2018,500000000.0
14-11-2018,125000000.0
15-11-2018,405000000.0
16-11-2018,315000000.0
19-11-2018,350000000.0
20-11-2018,500005000.0
21-11-2018,499995000.0
22-11-2018,210000000.0
23-11-2018,500005000.0
26-11-2018,215000000.0
27-11-2018,295000000.0
28-11-2018,380000000.0
29-11-2018,415000000.0
30-11-2018,380000000.0
03-12-2018,499995000.0
04-12-2018,335000000.0
05-12-2018,250000000.0
06-12-2018,385000000.0
07-12-2018,500000000.0
10-12-2018,450000000.0
11-12-2018,190000000.0
12-12-2018,60000000.0
13-12-2018,445000000.0
14-12-2018,500000000.0
17-12-2018,180000000.0
18-12-2018,425000000.0
19-12-2018,500000000.0
20-12-2018,460000000.0
21-12-2018,499995000.0
24-12-2018,435000000.0
25-12-2018,10000000.0
26-12-2018,420000000.0
27-12-2018,500000000.0
28-12-2018,500000000.0
31-12-2018,465000000.0
01-01-2019,
02-01-2019,500000000.0
03-01-2019,500000000.0
04-01-2019,499995000.0
07-01-2019,499990000.0
08-01-2019,500005000.0
09-01-2019,499990000.0
10-01-2019,500000000.0
11-01-2019,500005000.0
14-01-2019,499995000.0
15-01-2019,499985000.0
16-01-2019,499995000.0
17-01-2019,499995000.0
18-01-2019,499985000.0
21-01-2019,375000000.0
22-01-2019,500015000.0
23-01-2019,500000000.0
24-01-2019,500000000.0
25-01-2019,500000000.0
28-01-2019,499990000.0
29-01-2019,500000000.0
30-01-2019,500005000.0
31-01-2019,500000000.0
01-02-2019,500005000.0
04-02-2019,500000000.0
05-02-2019,500010000.0
06-02-2019,500015000.0
07-02-2019,499990000.0
08-02-2019,499990000.0
11-02-2019,500020000.0
12-02-2019,499975000.0
13-02-2019,500015000.0
14-02-2019,500000000.0
15-02-2019,499995000.0
18-02-2019,499990000.0
19-02-2019,500010000.0
20-02-2019,499975000.0
21-02-2019,499995000.0
22-02-2019,500010000.0
25-02-2019,500000000.0
26-02-2019,500020000.0
27-02-2019,500010000.0
28-02-2019,500020000.0
01-03-2019,500015000.0
04-03-2019,500010000.0
05-03-2019,500010000.0
06-03-2019,499985000.0
07-03-2019,500015000.0
08-03-2019,499985000.0
11-03-2019,500000000.0
12-03-2019,499985000.0
13-03-2019,499995000.0
14-03-2019,499980000.0
15-03-2019,500000000.0
18-03-2019,500005000.0
19-03-2019,500000000.0
20-03-2019,499985000.0
21-03-2019,499980000.0
22-03-2019,499980000.0
